"","Replicate","ID","OD","T","t","OD_T0","Tf","u","Treatment","Level","Media"
"25",1,"Cn_M9",0.001,15,"T1",0.002,330,-0.138629436,"Denovo","Com","M9"
"26",2,"Cn_M9",0.002,15,"T1",0.002,330,0,"Denovo","Com","M9"
"27",3,"Cn_M9",0.002,15,"T1",0.002,330,0,"Denovo","Com","M9"
"28",4,"Cn_M9",0.003,15,"T1",0.002,330,0.081093022,"Denovo","Com","M9"
"29",5,"Cn_M9",0.002,15,"T1",0.002,330,0,"Denovo","Com","M9"
"30",6,"Cn_M9",0.002,15,"T1",0.002,330,0,"Denovo","Com","M9"
"31",1,"Cn_SM",0.003,15,"T1",0.003,330,0,"Denovo","Com","SM"
"32",2,"Cn_SM",0.004,15,"T1",0.003,330,0.057536414,"Denovo","Com","SM"
"33",3,"Cn_SM",0.005,15,"T1",0.003,330,0.102165125,"Denovo","Com","SM"
"34",4,"Cn_SM",0.003,15,"T1",0.003,330,0,"Denovo","Com","SM"
"35",5,"Cn_SM",0.004,15,"T1",0.003,330,0.057536414,"Denovo","Com","SM"
"36",6,"Cn_SM",0.004,15,"T1",0.003,330,0.057536414,"Denovo","Com","SM"
"37",1,"Ce_M9",0.005,15,"T1",0.003,330,0.102165125,"Evolved","Com","M9"
"38",2,"Ce_M9",0.004,15,"T1",0.001,330,0.277258872,"Evolved","Com","M9"
"39",3,"Ce_M9",0.003,15,"T1",0.001,330,0.219722458,"Evolved","Com","M9"
"40",4,"Ce_M9",0.002,15,"T1",0.004,330,-0.138629436,"Evolved","Com","M9"
"41",5,"Ce_M9",0.005,15,"T1",0.005,330,0,"Evolved","Com","M9"
"42",6,"Ce_M9",0.002,15,"T1",0.002,330,0,"Evolved","Com","M9"
"43",1,"Ce_SM",0.003,15,"T1",0.005,330,-0.102165125,"Evolved","Com","SM"
"44",2,"Ce_SM",0.004,15,"T1",0.001,330,0.277258872,"Evolved","Com","SM"
"45",3,"Ce_SM",0.001,15,"T1",1e-04,330,0.460517019,"Evolved","Com","SM"
"46",4,"Ce_SM",0.001,15,"T1",0.001,330,0,"Evolved","Com","SM"
"47",5,"Ce_SM",0.003,15,"T1",0.001,330,0.219722458,"Evolved","Com","SM"
"48",6,"Ce_SM",0.004,15,"T1",0.002,330,0.138629436,"Evolved","Com","SM"
"49",1,"Cn_M9",0.005,20,"T1",0.003,315,0.107542237,"Denovo","Com","M9"
"50",2,"Cn_M9",0.005,20,"T1",0.003,315,0.107542237,"Denovo","Com","M9"
"51",3,"Cn_M9",0.004,20,"T1",0.003,315,0.060564647,"Denovo","Com","M9"
"52",4,"Cn_M9",0.003,20,"T1",0.003,315,0,"Denovo","Com","M9"
"53",5,"Cn_M9",0.005,20,"T1",0.003,315,0.107542237,"Denovo","Com","M9"
"54",6,"Cn_M9",0.005,20,"T1",0.003,315,0.107542237,"Denovo","Com","M9"
"55",1,"Cn_SM",0.005,20,"T1",0.003,315,0.107542237,"Denovo","Com","SM"
"56",2,"Cn_SM",0.006,20,"T1",0.003,315,0.145925722,"Denovo","Com","SM"
"57",3,"Cn_SM",0.005,20,"T1",0.003,315,0.107542237,"Denovo","Com","SM"
"58",4,"Cn_SM",0.004,20,"T1",0.003,315,0.060564647,"Denovo","Com","SM"
"59",5,"Cn_SM",0.005,20,"T1",0.003,315,0.107542237,"Denovo","Com","SM"
"60",6,"Cn_SM",0.005,20,"T1",0.003,315,0.107542237,"Denovo","Com","SM"
"61",1,"Ce_M9",0.011,20,"T1",0.002,315,0.358894335,"Evolved","Com","M9"
"62",2,"Ce_M9",0.007,20,"T1",0.001,315,0.409665295,"Evolved","Com","M9"
"63",3,"Ce_M9",0.003,20,"T1",1e-04,315,0.716041554,"Evolved","Com","M9"
"64",4,"Ce_M9",0.004,20,"T1",0.013,315,-0.248137894,"Evolved","Com","M9"
"65",5,"Ce_M9",0.011,20,"T1",0.003,315,0.27353326,"Evolved","Com","M9"
"66",6,"Ce_M9",0.006,20,"T1",0.002,315,0.231286798,"Evolved","Com","M9"
"67",1,"Ce_SM",0.006,20,"T1",0.002,315,0.231286798,"Evolved","Com","SM"
"68",2,"Ce_SM",0.006,20,"T1",0.002,315,0.231286798,"Evolved","Com","SM"
"69",3,"Ce_SM",0.004,20,"T1",0.001,315,0.291851444,"Evolved","Com","SM"
"70",4,"Ce_SM",0.007,20,"T1",0.001,315,0.409665295,"Evolved","Com","SM"
"71",5,"Ce_SM",0.007,20,"T1",0.002,315,0.263739572,"Evolved","Com","SM"
"72",6,"Ce_SM",0.005,20,"T1",0.003,315,0.107542237,"Evolved","Com","SM"
"73",1,"Cn_M9",0.007,25,"T1",0.001,315,0.409665295,"Denovo","Com","M9"
"74",2,"Cn_M9",0.007,25,"T1",0.001,315,0.409665295,"Denovo","Com","M9"
"75",3,"Cn_M9",0.006,25,"T1",0.001,315,0.37721252,"Denovo","Com","M9"
"76",4,"Cn_M9",0.009,25,"T1",0.001,315,0.462573595,"Denovo","Com","M9"
"77",5,"Cn_M9",0.008,25,"T1",0.001,315,0.437777167,"Denovo","Com","M9"
"78",6,"Cn_M9",0.007,25,"T1",0.001,315,0.409665295,"Denovo","Com","M9"
"79",1,"Cn_SM",0.004,25,"T1",0.002,250,0.18904014,"Denovo","Com","SM"
"80",2,"Cn_SM",0.005,25,"T1",0.002,250,0.249897472,"Denovo","Com","SM"
"81",3,"Cn_SM",0.007,25,"T1",0.002,250,0.341662628,"Denovo","Com","SM"
"82",4,"Cn_SM",0.004,25,"T1",0.002,250,0.18904014,"Denovo","Com","SM"
"83",5,"Cn_SM",0.005,25,"T1",0.002,250,0.249897472,"Denovo","Com","SM"
"84",6,"Cn_SM",0.005,25,"T1",0.002,250,0.249897472,"Denovo","Com","SM"
"85",1,"Ce_M9",0.017,25,"T1",0.002,315,0.450540245,"Evolved","Com","M9"
"86",2,"Ce_M9",0.019,25,"T1",0.007,315,0.210216596,"Evolved","Com","M9"
"87",3,"Ce_M9",0.01,25,"T1",0.003,315,0.253467959,"Evolved","Com","M9"
"88",4,"Ce_M9",0.012,25,"T1",0.003,315,0.291851444,"Evolved","Com","M9"
"89",5,"Ce_M9",0.016,25,"T1",0.005,315,0.244873855,"Evolved","Com","M9"
"90",6,"Ce_M9",0.012,25,"T1",0.002,315,0.37721252,"Evolved","Com","M9"
"91",1,"Ce_SM",0.009,25,"T1",0.004,250,0.221162786,"Evolved","Com","SM"
"92",2,"Ce_SM",0.01,25,"T1",0.003,250,0.328356219,"Evolved","Com","SM"
"93",3,"Ce_SM",0.005,25,"T1",0.004,250,0.060857332,"Evolved","Com","SM"
"94",4,"Ce_SM",0.005,25,"T1",0.001,250,0.438937612,"Evolved","Com","SM"
"95",5,"Ce_SM",0.009,25,"T1",0.003,250,0.299621533,"Evolved","Com","SM"
"96",6,"Ce_SM",0.007,25,"T1",0.001,250,0.530702768,"Evolved","Com","SM"
"97",1,"Cn_M9",0.009,27.5,"T1",0.001,250,0.599243067,"Denovo","Com","M9"
"98",2,"Cn_M9",0.008,27.5,"T1",0.001,250,0.56712042,"Denovo","Com","M9"
"99",3,"Cn_M9",0.009,27.5,"T1",0.001,250,0.599243067,"Denovo","Com","M9"
"100",4,"Cn_M9",0.006,27.5,"T1",0.001,250,0.488661673,"Denovo","Com","M9"
"101",5,"Cn_M9",0.008,27.5,"T1",0.001,250,0.56712042,"Denovo","Com","M9"
"102",6,"Cn_M9",0.008,27.5,"T1",0.001,250,0.56712042,"Denovo","Com","M9"
"103",1,"Cn_SM",0.007,27.5,"T1",0.004,250,0.152622488,"Denovo","Com","SM"
"104",2,"Cn_SM",0.007,27.5,"T1",0.004,250,0.152622488,"Denovo","Com","SM"
"105",3,"Cn_SM",0.007,27.5,"T1",0.004,250,0.152622488,"Denovo","Com","SM"
"106",4,"Cn_SM",0.006,27.5,"T1",0.004,250,0.110581393,"Denovo","Com","SM"
"107",5,"Cn_SM",0.006,27.5,"T1",0.004,250,0.110581393,"Denovo","Com","SM"
"108",6,"Cn_SM",0.006,27.5,"T1",0.004,250,0.110581393,"Denovo","Com","SM"
"109",1,"Ce_M9",0.011,27.5,"T1",0.003,250,0.354349905,"Evolved","Com","M9"
"110",2,"Ce_M9",0.01,27.5,"T1",0.002,250,0.438937612,"Evolved","Com","M9"
"111",3,"Ce_M9",0.007,27.5,"T1",0.001,250,0.530702768,"Evolved","Com","M9"
"112",4,"Ce_M9",0.007,27.5,"T1",0.003,250,0.231081235,"Evolved","Com","M9"
"113",5,"Ce_M9",0.013,27.5,"T1",0.003,250,0.39991011,"Evolved","Com","M9"
"114",6,"Ce_M9",0.006,27.5,"T1",0.001,250,0.488661673,"Evolved","Com","M9"
"115",1,"Ce_SM",0.007,27.5,"T1",0.006,195,0.056054793,"Evolved","Com","SM"
"116",2,"Ce_SM",0.006,27.5,"T1",0.004,195,0.147441857,"Evolved","Com","SM"
"117",3,"Ce_SM",0.003,27.5,"T1",0.002,195,0.147441857,"Evolved","Com","SM"
"118",4,"Ce_SM",0.004,27.5,"T1",0.003,195,0.104611663,"Evolved","Com","SM"
"119",5,"Ce_SM",0.006,27.5,"T1",0.004,195,0.147441857,"Evolved","Com","SM"
"120",6,"Ce_SM",0.002,27.5,"T1",0.001,195,0.25205352,"Evolved","Com","SM"
"121",1,"Cn_M9",0.013,30,"T1",0.001,250,0.699531643,"Denovo","Com","M9"
"122",2,"Cn_M9",0.008,30,"T1",0.001,250,0.56712042,"Denovo","Com","M9"
"123",3,"Cn_M9",0.008,30,"T1",0.001,250,0.56712042,"Denovo","Com","M9"
"124",4,"Cn_M9",0.009,30,"T1",0.001,250,0.599243067,"Denovo","Com","M9"
"125",5,"Cn_M9",0.007,30,"T1",0.001,250,0.530702768,"Denovo","Com","M9"
"126",6,"Cn_M9",0.007,30,"T1",0.001,250,0.530702768,"Denovo","Com","M9"
"127",1,"Cn_SM",0.004,30,"T1",0.002,210,0.23104906,"Denovo","Com","SM"
"128",2,"Cn_SM",0.005,30,"T1",0.002,210,0.305430244,"Denovo","Com","SM"
"129",3,"Cn_SM",0.006,30,"T1",0.002,210,0.366204096,"Denovo","Com","SM"
"130",4,"Cn_SM",0.005,30,"T1",0.002,210,0.305430244,"Denovo","Com","SM"
"131",5,"Cn_SM",0.005,30,"T1",0.002,210,0.305430244,"Denovo","Com","SM"
"132",6,"Cn_SM",0.005,30,"T1",0.002,210,0.305430244,"Denovo","Com","SM"
"133",1,"Ce_M9",0.008,30,"T1",0.001,250,0.56712042,"Evolved","Com","M9"
"134",2,"Ce_M9",0.009,30,"T1",0.003,250,0.299621533,"Evolved","Com","M9"
"135",3,"Ce_M9",0.006,30,"T1",0.002,250,0.299621533,"Evolved","Com","M9"
"136",4,"Ce_M9",0.013,30,"T1",0.001,250,0.699531643,"Evolved","Com","M9"
"137",5,"Ce_M9",0.012,30,"T1",1e-04,250,1.305679566,"Evolved","Com","M9"
"138",6,"Ce_M9",1e-04,30,"T1",1e-04,250,0,"Evolved","Com","M9"
"139",1,"Ce_SM",0.007,30,"T1",0.002,175,0.518384677,"Evolved","Com","SM"
"140",2,"Ce_SM",0.008,30,"T1",0.005,175,0.19448426,"Evolved","Com","SM"
"141",3,"Ce_SM",0.005,30,"T1",0.003,175,0.21137612,"Evolved","Com","SM"
"142",4,"Ce_SM",0.005,30,"T1",0.002,175,0.379154786,"Evolved","Com","SM"
"143",5,"Ce_SM",0.008,30,"T1",0.003,175,0.405860381,"Evolved","Com","SM"
"144",6,"Ce_SM",0.007,30,"T1",0.002,175,0.518384677,"Evolved","Com","SM"
"145",1,"Cn_M9",0.01,32.5,"T1",0.001,250,0.627977753,"Denovo","Com","M9"
"146",2,"Cn_M9",0.009,32.5,"T1",0.001,250,0.599243067,"Denovo","Com","M9"
"147",3,"Cn_M9",0.009,32.5,"T1",0.001,250,0.599243067,"Denovo","Com","M9"
"148",4,"Cn_M9",0.009,32.5,"T1",0.001,250,0.599243067,"Denovo","Com","M9"
"149",5,"Cn_M9",0.01,32.5,"T1",0.001,250,0.627977753,"Denovo","Com","M9"
"150",6,"Cn_M9",0.01,32.5,"T1",0.001,250,0.627977753,"Denovo","Com","M9"
"151",1,"Cn_SM",0.005,32.5,"T1",0.002,210,0.305430244,"Denovo","Com","SM"
"152",2,"Cn_SM",0.005,32.5,"T1",0.002,210,0.305430244,"Denovo","Com","SM"
"153",3,"Cn_SM",0.006,32.5,"T1",0.002,210,0.366204096,"Denovo","Com","SM"
"154",4,"Cn_SM",0.005,32.5,"T1",0.002,210,0.305430244,"Denovo","Com","SM"
"155",5,"Cn_SM",0.005,32.5,"T1",0.002,210,0.305430244,"Denovo","Com","SM"
"156",6,"Cn_SM",0.005,32.5,"T1",0.002,210,0.305430244,"Denovo","Com","SM"
"157",1,"Ce_M9",0.008,32.5,"T1",0.001,280,0.49906597,"Evolved","Com","M9"
"158",2,"Ce_M9",0.008,32.5,"T1",0.004,280,0.166355323,"Evolved","Com","M9"
"159",3,"Ce_M9",0.008,32.5,"T1",0.002,280,0.332710647,"Evolved","Com","M9"
"160",4,"Ce_M9",0.01,32.5,"T1",0.001,280,0.552620422,"Evolved","Com","M9"
"161",5,"Ce_M9",0.007,32.5,"T1",0.001,280,0.467018436,"Evolved","Com","M9"
"162",6,"Ce_M9",0.01,32.5,"T1",0.001,280,0.552620422,"Evolved","Com","M9"
"163",1,"Ce_SM",0.006,32.5,"T1",0.003,175,0.286819523,"Evolved","Com","SM"
"164",2,"Ce_SM",0.005,32.5,"T1",0.003,175,0.21137612,"Evolved","Com","SM"
"165",3,"Ce_SM",0.005,32.5,"T1",0.003,175,0.21137612,"Evolved","Com","SM"
"166",4,"Ce_SM",0.007,32.5,"T1",0.004,175,0.231565154,"Evolved","Com","SM"
"167",5,"Ce_SM",0.005,32.5,"T1",0.002,175,0.379154786,"Evolved","Com","SM"
"168",6,"Ce_SM",0.006,32.5,"T1",0.002,175,0.454598188,"Evolved","Com","SM"
"169",1,"Cn_M9",0.005,35,"T1",0.001,280,0.386265099,"Denovo","Com","M9"
"170",2,"Cn_M9",0.005,35,"T1",0.001,280,0.386265099,"Denovo","Com","M9"
