curve_id,Id,Com,K,ln.rate,Treatment,Media,Replicate,T
2,Cn_SM:1,Cn_SM,288.15,-1.130019787,Cn,SM,1,15
3,Ce_M9:1,Ce_M9,288.15,-1.023215085,Ce,M9,1,15
4,Ce_SM:1,Ce_SM,288.15,-0.843800987,Ce,SM,1,15
5,Cn_M9:2,Cn_M9,288.15,-0.453194943,Cn,M9,2,15
6,Cn_SM:2,Cn_SM,288.15,-1.188717394,Cn,SM,2,15
7,Ce_M9:2,Ce_M9,288.15,-0.884790983,Ce,M9,2,15
8,Ce_SM:2,Ce_SM,288.15,-0.736004779,Ce,SM,2,15
9,Cn_M9:3,Cn_M9,288.15,-0.460345502,Cn,M9,3,15
10,Cn_SM:3,Cn_SM,288.15,-1.563197372,Cn,SM,3,15
11,Ce_M9:3,Ce_M9,288.15,-0.675574322,Ce,M9,3,15
12,Ce_SM:3,Ce_SM,288.15,-0.877121322,Ce,SM,3,15
13,Cn_M9:4,Cn_M9,288.15,-0.502106499,Cn,M9,4,15
14,Cn_SM:4,Cn_SM,288.15,-1.138854999,Cn,SM,4,15
15,Ce_M9:4,Ce_M9,288.15,-0.757653569,Ce,M9,4,15
16,Ce_SM:4,Ce_SM,288.15,-1.263757788,Ce,SM,4,15
17,Cn_M9:5,Cn_M9,288.15,-0.543422533,Cn,M9,5,15
18,Cn_SM:5,Cn_SM,288.15,-1.232253535,Cn,SM,5,15
19,Ce_M9:5,Ce_M9,288.15,-0.775629077,Ce,M9,5,15
20,Ce_SM:5,Ce_SM,288.15,-0.597279766,Ce,SM,5,15
21,Cn_M9:6,Cn_M9,288.15,-0.54142471,Cn,M9,6,15
22,Cn_SM:6,Cn_SM,288.15,-1.186802708,Cn,SM,6,15
23,Ce_M9:6,Ce_M9,288.15,-0.853731425,Ce,M9,6,15
24,Ce_SM:6,Ce_SM,288.15,-1.298733205,Ce,SM,6,15
1,Cn_M9:1,Cn_M9,293.15,-0.905066705,Cn,M9,1,20
