Id,Com,Treatment,Media,Replicate,T,code,ResperCel
Cn_SM:1,Cn_SM,Cn,SM,1,15,15:Cn,1.25E-10
Ce_M9:1,Ce_M9,Ce,M9,1,15,15:Ce,6.02E-11
Ce_SM:1,Ce_SM,Ce,SM,1,15,15:Ce,4.96E-11
Cn_M9:2,Cn_M9,Cn,M9,2,15,15:Cn,4.81E-11
Cn_SM:2,Cn_SM,Cn,SM,2,15,15:Cn,1.26E-10
Ce_M9:2,Ce_M9,Ce,M9,2,15,15:Ce,5.82E-11
Ce_SM:2,Ce_SM,Ce,SM,2,15,15:Ce,4.84E-11
Cn_M9:3,Cn_M9,Cn,M9,3,15,15:Cn,5.01E-11
Cn_SM:3,Cn_SM,Cn,SM,3,15,15:Cn,1.70E-10
Ce_M9:3,Ce_M9,Ce,M9,3,15,15:Ce,1.10E-10
Ce_SM:3,Ce_SM,Ce,SM,3,15,15:Ce,1.43E-10
Cn_M9:4,Cn_M9,Cn,M9,4,15,15:Cn,4.97E-11
Cn_SM:4,Cn_SM,Cn,SM,4,15,15:Cn,1.13E-10
Ce_M9:4,Ce_M9,Ce,M9,4,15,15:Ce,8.59E-11
Ce_SM:4,Ce_SM,Ce,SM,4,15,15:Ce,1.43E-10
Cn_M9:5,Cn_M9,Cn,M9,5,15,15:Cn,4.73E-11
Cn_SM:5,Cn_SM,Cn,SM,5,15,15:Cn,1.07E-10
Ce_M9:5,Ce_M9,Ce,M9,5,15,15:Ce,6.21E-11
Ce_SM:5,Ce_SM,Ce,SM,5,15,15:Ce,4.78E-11
Cn_M9:6,Cn_M9,Cn,M9,6,15,15:Cn,4.23E-11
Cn_SM:6,Cn_SM,Cn,SM,6,15,15:Cn,9.27E-11
Ce_M9:6,Ce_M9,Ce,M9,6,15,15:Ce,1.40E-10
Ce_SM:6,Ce_SM,Ce,SM,6,15,15:Ce,2.13E-10
Cn_M9:1,Cn_M9,Cn,M9,1,20,20:Cn,8.96E-11
Cn_SM:1,Cn_SM,Cn,SM,1,20,20:Cn,1.69E-10
Ce_M9:1,Ce_M9,Ce,M9,1,20,20:Ce,8.61E-11
Ce_SM:1,Ce_SM,Ce,SM,1,20,20:Ce,7.89E-11
Cn_M9:2,Cn_M9,Cn,M9,2,20,20:Cn,9.20E-11
Cn_SM:2,Cn_SM,Cn,SM,2,20,20:Cn,1.88E-10
Ce_M9:2,Ce_M9,Ce,M9,2,20,20:Ce,1.17E-10
Ce_SM:2,Ce_SM,Ce,SM,2,20,20:Ce,1.57E-10
Cn_M9:3,Cn_M9,Cn,M9,3,20,20:Cn,7.88E-11
Cn_SM:3,Cn_SM,Cn,SM,3,20,20:Cn,1.75E-10
Ce_M9:3,Ce_M9,Ce,M9,3,20,20:Ce,1.46E-10
Ce_SM:3,Ce_SM,Ce,SM,3,20,20:Ce,4.62E-10
Cn_M9:4,Cn_M9,Cn,M9,4,20,20:Cn,6.49E-11
Cn_SM:4,Cn_SM,Cn,SM,4,20,20:Cn,1.53E-10
Ce_M9:4,Ce_M9,Ce,M9,4,20,20:Ce,1.46E-10
Ce_SM:4,Ce_SM,Ce,SM,4,20,20:Ce,4.98E-10
Cn_M9:5,Cn_M9,Cn,M9,5,20,20:Cn,6.69E-11
Cn_SM:5,Cn_SM,Cn,SM,5,20,20:Cn,1.55E-10
Ce_M9:5,Ce_M9,Ce,M9,5,20,20:Ce,8.08E-11
Ce_SM:5,Ce_SM,Ce,SM,5,20,20:Ce,5.18E-11
