"","ln.c","Ea","Eh","Th","Sps","Treatment"
"R_20 Nonevolved",-1.08634498661964,0.3989118703285,7.70842398636846,304.817339599912,"R_20","Nonevolved"
"R_23 evolved",-1.10193054714897,0.853780351204068,9.63371701756294,307.313683795736,"R_23","evolved"
"R_02 Nonevolved",0.0229101596327018,0.51152076949461,9.48215975707278,306.461676263332,"R_02","Nonevolved"
"R_23 Nonevolved",-0.957367387549761,1.29034468657838,13.2736123079701,304.946539574018,"R_23","Nonevolved"
"R_02 evolved",-0.419268173508158,0.940073103136637,7.36089185880136,305.457831324891,"R_02","evolved"
"R_15 Nonevolved",-0.23031235131835,0.991939214255791,10.7518207966927,304.450269189093,"R_15","Nonevolved"
"R_20 evolved",-1.01701226109484,0.999226772406728,6.24328655401853,305.294835940924,"R_20","evolved"
"R_15 evolved",0.187488942901241,0.866844232026854,19.0264952438283,305.184769282097,"R_15","evolved"
"R_18 evolved",0.502048187452428,0.666293598423855,7.46925432408522,306.809674943501,"R_18","evolved"
"R_18 Nonevolved",0.582366481614013,0.66816028926638,10.0849095350809,305.615058054496,"R_18","Nonevolved"
