"","pa","r","K","T0.biom","AIC","quasi.r2","Replicate","Treatment"
"1","CE-M9:R1",0.218078971310612,0.0907137470040098,0.00423680607818919,-243.930709364781,0.982148859628178,"1","CE-M9"
"2","CE-M9:R2",0.24436926086583,0.0788993881102262,0.00401682470676272,-270.911383893069,0.990329145237316,"2","CE-M9"
"3","CE-M9:R3",0.267229943269034,0.0872884201803179,0.00183909337701687,-309.810484977641,0.998498657620155,"3","CE-M9"
"4","CE-M9:R4",0.262236308578233,0.0883651615177942,0.00259324860776409,-270.635436200729,0.994571666353693,"4","CE-M9"
"5","CE-M9:R5",0.240441371738553,0.0716187319188269,0.00344584252469303,-235.394923149848,0.972142986171747,"5","CE-M9"
"6","CE-M9:R6",0.195049891746276,0.117078397245982,0.00477143339303504,-278.66959551746,0.995854782885105,"6","CE-M9"
"7","CE-SMe:R1",0.185777559524353,0.118414732126988,0.00266198181378255,-269.806000604353,0.993023821053314,"1","CE-SMe"
"8","CE-SMe:R2",0.282027226157691,0.0470453723988624,0.00160562270089663,-262.897883807827,0.981143967081578,"2","CE-SMe"
"9","CE-SMe:R3",0.315603703925496,0.136967139813781,0.001,-220.924861853381,0.989201518615956,"3","CE-SMe"
"10","CE-SMe:R4",0.245286500702986,0.192432537272879,0.00174906652626182,-196.782076380747,0.982739953497258,"4","CE-SMe"
"11","CE-SMe:R5",0.248408244382133,0.148224754178755,0.00300922627889522,-203.526217377495,0.979893632625392,"5","CE-SMe"
"12","CE-SMe:R6",0.281149696512621,0.13482569844954,0.001,-208.525644108186,0.97664773384515,"6","CE-SMe"
"13","CN-M9:R1",0.189393322970564,0.0803064159334481,0.00320783115487308,-234.647891199509,0.964324552120681,"1","CN-M9"
"14","CN-M9:R2",0.225654434882274,0.0693069674563315,0.00224266980033227,-254.496581421827,0.987255905208652,"2","CN-M9"
"15","CN-M9:R3",0.316571844752123,0.0520264221097568,0.001,-222.100996511553,0.974451010997461,"3","CN-M9"
"16","CN-M9:R4",0.279304019836301,0.0642611939589597,0.00119546808769491,-224.348929502357,0.979011251211358,"4","CN-M9"
"17","CN-M9:R5",0.299723513698311,0.0610750162123687,0.00155438525474694,-280.739554235361,0.992335289300815,"5","CN-M9"
"18","CN-M9:R6",0.186491030182308,0.0831586105186429,0.00389130086649917,-260.227230489431,0.984510181711465,"6","CN-M9"
"19","CN-SMn:R1",0.297803823908758,0.0730229696970129,0.00114116547118448,-241.240140876024,0.980476394376477,"1","CN-SMn"
"20","CN-SMn:R2",0.203127545445917,0.0795019331479115,0.00311902236235824,-208.119419766185,0.97463376902451,"2","CN-SMn"
"21","CN-SMn:R3",0.196319347681176,0.0843191351145644,0.00373045621675984,-181.729705500722,0.93804971348792,"3","CN-SMn"
"22","CN-SMn:R4",0.18708618419877,0.0808665490043926,0.00449888894294157,-200.408076893216,0.955342348007015,"4","CN-SMn"
"23","CN-SMn:R5",0.178460716844589,0.0996664478373561,0.00466716807793001,-230.698095987482,0.975443207419912,"5","CN-SMn"
"24","CN-SMn:R6",0.280052664174481,0.0826890873027187,0.00152797802520158,-228.187014957561,0.967700790001002,"6","CN-SMn"
