t,LOG10N,pa
45,0.418,15-E:R1
45,0.4202,15-E:R2
45,0.4503,15-E:R3
45,0.4565,15-E:R4
45,0.39,15-E:R5
45,0.3758,15-NE:R1
54,0.2818,15-NE:R1
45,0.3697,15-NE:R2
54,0.2795,15-NE:R2
0,0.011,15-NE:R2
0,0.0124,15-NE:R3
45,0.4552,15-NE:R3
54,0.3614,15-NE:R3
0,0.0143,15-NE:R4
14,0.1293,15-NE:R4
45,0.4498,15-NE:R4
54,0.3551,15-NE:R4
0,0.0157,15-NE:R5
45,0.4056,15-NE:R5
45,0.383,15.18-E:R1
53,0.2808,15.18-E:R1
54,0.3147,15.18-E:R1
55,0.3133,15.18-E:R1
56,0.3132,15.18-E:R1
57,0.3138,15.18-E:R1
58,0.3081,15.18-E:R1
59,0.286,15.18-E:R1
45,0.3399,15.18-E:R2
53,0.2281,15.18-E:R2
54,0.2689,15.18-E:R2
55,0.2742,15.18-E:R2
56,0.2671,15.18-E:R2
57,0.2638,15.18-E:R2
58,0.256,15.18-E:R2
59,0.2475,15.18-E:R2
45,0.3446,15.18-E:R3
53,0.2243,15.18-E:R3
54,0.2672,15.18-E:R3
55,0.2673,15.18-E:R3
56,0.2728,15.18-E:R3
57,0.2684,15.18-E:R3
58,0.2577,15.18-E:R3
59,0.2341,15.18-E:R3
45,0.3442,15.18-E:R4
53,0.2482,15.18-E:R4
54,0.3036,15.18-E:R4
55,0.3037,15.18-E:R4
56,0.2984,15.18-E:R4
57,0.3012,15.18-E:R4
58,0.2837,15.18-E:R4
59,0.2489,15.18-E:R4
60,0.2492,15.18-E:R4
61,0.2521,15.18-E:R4
62,0.2518,15.18-E:R4
63,0.2532,15.18-E:R4
64,0.2544,15.18-E:R4
65,0.2585,15.18-E:R4
66,0.2571,15.18-E:R4
67,0.2626,15.18-E:R4
45,0.3225,15.18-E:R5
54,0.2535,15.18-E:R5
55,0.2438,15.18-E:R5
56,0.2433,15.18-E:R5
57,0.239,15.18-E:R5
58,0.2276,15.18-E:R5
53,0.2188,15.18-E:R5
50,0.2182,15.18-E:R5
46,0.1891,15.18-E:R5
45,0.3651,15.18-E:R6
53,0.2608,15.18-E:R6
54,0.2908,15.18-E:R6
55,0.287,15.18-E:R6
56,0.2846,15.18-E:R6
57,0.2674,15.18-E:R6
48,0.2137,15.18-NE:R1
50,0.2169,15.18-NE:R1
51,0.2214,15.18-NE:R1
52,0.2312,15.18-NE:R1
53,0.227,15.18-NE:R1
54,0.2299,15.18-NE:R1
55,0.2284,15.18-NE:R1
56,0.2299,15.18-NE:R1
57,0.2435,15.18-NE:R1
58,0.2467,15.18-NE:R1
60,0.2529,15.18-NE:R1
59,0.2391,15.18-NE:R1
61,0.2563,15.18-NE:R1
62,0.2632,15.18-NE:R1
63,0.2665,15.18-NE:R1
64,0.265,15.18-NE:R1
65,0.2651,15.18-NE:R1
66,0.2642,15.18-NE:R1
67,0.2619,15.18-NE:R1
45,0.2756,15.18-NE:R2
54,0.2089,15.18-NE:R2
62,0.2104,15.18-NE:R2
63,0.2174,15.18-NE:R2
64,0.2489,15.18-NE:R2
65,0.2505,15.18-NE:R2
66,0.2509,15.18-NE:R2
67,0.2499,15.18-NE:R2
45,0.2738,15.18-NE:R3
54,0.2219,15.18-NE:R3
56,0.2178,15.18-NE:R3
55,0.2156,15.18-NE:R3
57,0.1982,15.18-NE:R3
58,0.1959,15.18-NE:R3
59,0.2054,15.18-NE:R3
45,0.2789,15.18-NE:R4
47,0.1558,15.18-NE:R4
48,0.1557,15.18-NE:R4
49,0.1616,15.18-NE:R4
50,0.1627,15.18-NE:R4
51,0.1674,15.18-NE:R4
52,0.1743,15.18-NE:R4
53,0.1919,15.18-NE:R4
54,0.2301,15.18-NE:R4
55,0.2341,15.18-NE:R4
56,0.2366,15.18-NE:R4
57,0.2328,15.18-NE:R4
58,0.2214,15.18-NE:R4
59,0.2176,15.18-NE:R4
60,0.2342,15.18-NE:R4
61,0.2353,15.18-NE:R4
62,0.2375,15.18-NE:R4
63,0.236,15.18-NE:R4
64,0.235,15.18-NE:R4
65,0.2364,15.18-NE:R4
66,0.2368,15.18-NE:R4
67,0.2351,15.18-NE:R4
45,0.2911,15.18-NE:R5
53,0.1985,15.18-NE:R5
54,0.2407,15.18-NE:R5
56,0.2738,15.18-NE:R5
55,0.2634,15.18-NE:R5
57,0.2756,15.18-NE:R5
58,0.2658,15.18-NE:R5
59,0.2471,15.18-NE:R5
60,0.2456,15.18-NE:R5
61,0.2466,15.18-NE:R5
62,0.2454,15.18-NE:R5
63,0.2446,15.18-NE:R5
64,0.2458,15.18-NE:R5
65,0.247,15.18-NE:R5
66,0.2476,15.18-NE:R5
67,0.2471,15.18-NE:R5
45,0.2807,15.18-NE:R6
46,0.161,15.18-NE:R6
47,0.166,15.18-NE:R6
48,0.1682,15.18-NE:R6
49,0.17,15.18-NE:R6
50,0.1741,15.18-NE:R6
51,0.1873,15.18-NE:R6
52,0.1952,15.18-NE:R6
53,0.2118,15.18-NE:R6
54,0.2484,15.18-NE:R6
55,0.2781,15.18-NE:R6
56,0.2814,15.18-NE:R6
57,0.28,15.18-NE:R6
58,0.2702,15.18-NE:R6
59,0.2503,15.18-NE:R6
60,0.2473,15.18-NE:R6
61,0.2449,15.18-NE:R6
62,0.2439,15.18-NE:R6
63,0.2434,15.18-NE:R6
64,0.2451,15.18-NE:R6
65,0.2463,15.18-NE:R6
66,0.2473,15.18-NE:R6
67,0.2471,15.18-NE:R6
45,0.4763,15.20-E:R1
54,0.3982,15.20-E:R1
53,0.3649,15.20-E:R1
55,0.3974,15.20-E:R1
56,0.396,15.20-E:R1
57,0.3923,15.20-E:R1
58,0.3724,15.20-E:R1
45,0.3509,15.20-E:R2
53,0.261,15.20-E:R2
54,0.2964,15.20-E:R2
55,0.3018,15.20-E:R2
56,0.2988,15.20-E:R2
57,0.2989,15.20-E:R2
58,0.2954,15.20-E:R2
59,0.2621,15.20-E:R2
60,0.2685,15.20-E:R2
61,0.2713,15.20-E:R2
62,0.2759,15.20-E:R2
63,0.2782,15.20-E:R2
64,0.2835,15.20-E:R2
65,0.2826,15.20-E:R2
66,0.287,15.20-E:R2
67,0.2933,15.20-E:R2
45,0.3785,15.20-E:R3
55,0.3208,15.20-E:R3
53,0.2705,15.20-E:R3
54,0.3125,15.20-E:R3
56,0.3114,15.20-E:R3
57,0.3152,15.20-E:R3
58,0.3019,15.20-E:R3
59,0.2795,15.20-E:R3
60,0.2828,15.20-E:R3
61,0.2846,15.20-E:R3
62,0.2833,15.20-E:R3
63,0.2881,15.20-E:R3
64,0.2901,15.20-E:R3
65,0.2942,15.20-E:R3
66,0.3018,15.20-E:R3
67,0.3003,15.20-E:R3
45,0.369,15.20-E:R4
51,0.2557,15.20-E:R4
52,0.2655,15.20-E:R4
43,0.2566,15.20-E:R4
53,0.2742,15.20-E:R4
54,0.2942,15.20-E:R4
55,0.3043,15.20-E:R4
56,0.3114,15.20-E:R4
57,0.3076,15.20-E:R4
58,0.2805,15.20-E:R4
59,0.2711,15.20-E:R4
60,0.2714,15.20-E:R4
61,0.2767,15.20-E:R4
62,0.2791,15.20-E:R4
63,0.2831,15.20-E:R4
64,0.29,15.20-E:R4
65,0.2962,15.20-E:R4
66,0.2941,15.20-E:R4
67,0.29,15.20-E:R4
45,0.3933,15.20-E:R5
54,0.3321,15.20-E:R5
55,0.3306,15.20-E:R5
56,0.3251,15.20-E:R5
57,0.3154,15.20-E:R5
45,0.3714,15.20-E:R6
54,0.3109,15.20-E:R6
55,0.3056,15.20-E:R6
53,0.2895,15.20-E:R6
45,0.3203,15.20-NE:R2
45,0.3347,15.20-NE:R3
52,0.2182,15.20-NE:R3
53,0.23,15.20-NE:R3
54,0.2689,15.20-NE:R3
55,0.2529,15.20-NE:R3
56,0.2352,15.20-NE:R3
57,0.2292,15.20-NE:R3
58,0.2293,15.20-NE:R3
59,0.2283,15.20-NE:R3
60,0.2299,15.20-NE:R3
61,0.2335,15.20-NE:R3
62,0.238,15.20-NE:R3
63,0.2378,15.20-NE:R3
64,0.2369,15.20-NE:R3
65,0.239,15.20-NE:R3
66,0.2384,15.20-NE:R3
67,0.2408,15.20-NE:R3
45,0.3884,15.20-NE:R4
53,0.2867,15.20-NE:R4
54,0.3208,15.20-NE:R4
55,0.3277,15.20-NE:R4
56,0.3243,15.20-NE:R4
57,0.3176,15.20-NE:R4
45,0.4066,15.20-NE:R5
54,0.3507,15.20-NE:R5
56,0.3468,15.20-NE:R5
55,0.3483,15.20-NE:R5
57,0.3412,15.20-NE:R5
45,0.3624,15.20-NE:R6
54,0.2959,15.20-NE:R6
55,0.2991,15.20-NE:R6
56,0.2897,15.20-NE:R6
57,0.2878,15.20-NE:R6
45,0.3591,15.23-E:R1
54,0.3036,15.23-E:R1
45,0.3964,15.23-E:R2
54,0.3181,15.23-E:R2
55,0.3232,15.23-E:R2
45,0.3468,15.23-E:R3
54,0.2771,15.23-E:R3
56,0.2583,15.23-E:R3
55,0.2709,15.23-E:R3
45,0.3478,15.23-E:R4
53,0.2605,15.23-E:R4
54,0.2926,15.23-E:R4
55,0.2801,15.23-E:R4
61,0.2579,15.23-E:R4
62,0.2605,15.23-E:R4
63,0.2572,15.23-E:R4
64,0.2609,15.23-E:R4
65,0.2662,15.23-E:R4
66,0.2703,15.23-E:R4
67,0.2667,15.23-E:R4
45,0.5835,15.23-E:R5
54,0.5234,15.23-E:R5
55,0.5129,15.23-E:R5
59,0.5093,15.23-E:R5
60,0.5168,15.23-E:R5
61,0.5293,15.23-E:R5
62,0.5389,15.23-E:R5
63,0.553,15.23-E:R5
64,0.5701,15.23-E:R5
65,0.5773,15.23-E:R5
66,0.5854,15.23-E:R5
67,0.5892,15.23-E:R5
45,0.4087,15.23-E:R6
54,0.3335,15.23-E:R6
45,0.3271,15.23-NE:R2
65,0.2562,15.23-NE:R2
66,0.2593,15.23-NE:R2
67,0.2583,15.23-NE:R2
45,0.3389,15.23-NE:R3
54,0.2868,15.23-NE:R3
45,0.3371,15.23-NE:R4
53,0.2495,15.23-NE:R4
54,0.2864,15.23-NE:R4
55,0.2654,15.23-NE:R4
45,0.325,15.23-NE:R5
54,0.2616,15.23-NE:R5
55,0.2526,15.23-NE:R5
45,0.378,15.23-NE:R6
54,0.3251,15.23-NE:R6
42,0.2494,18-E:R1
43,0.238,18-E:R1
44,0.2289,18-E:R1
45,0.2853,18-E:R1
46,0.2264,18-E:R1
47,0.2296,18-E:R1
48,0.2423,18-E:R1
49,0.2522,18-E:R1
50,0.2625,18-E:R1
51,0.267,18-E:R1
52,0.2696,18-E:R1
53,0.2757,18-E:R1
54,0.2812,18-E:R1
55,0.2882,18-E:R1
56,0.2902,18-E:R1
57,0.2936,18-E:R1
58,0.2976,18-E:R1
59,0.2994,18-E:R1
60,0.3022,18-E:R1
61,0.3067,18-E:R1
62,0.3082,18-E:R1
63,0.3081,18-E:R1
64,0.3143,18-E:R1
65,0.3175,18-E:R1
66,0.3185,18-E:R1
67,0.3155,18-E:R1
45,0.2909,18-E:R2
54,0.2007,18-E:R2
55,0.1942,18-E:R2
56,0.1913,18-E:R2
57,0.1987,18-E:R2
59,0.2333,18-E:R2
58,0.218,18-E:R2
60,0.2524,18-E:R2
61,0.2619,18-E:R2
62,0.2695,18-E:R2
63,0.2715,18-E:R2
64,0.2784,18-E:R2
65,0.2793,18-E:R2
66,0.2841,18-E:R2
67,0.2901,18-E:R2
6,0.0646,18-E:R2
6,0.0653,18-E:R3
45,0.293,18-E:R3
47,0.2066,18-E:R3
48,0.2118,18-E:R3
49,0.2202,18-E:R3
50,0.2119,18-E:R3
51,0.2055,18-E:R3
52,0.1965,18-E:R3
53,0.1904,18-E:R3
54,0.1912,18-E:R3
55,0.2076,18-E:R3
56,0.2265,18-E:R3
57,0.2447,18-E:R3
58,0.264,18-E:R3
59,0.2718,18-E:R3
60,0.2792,18-E:R3
61,0.285,18-E:R3
62,0.285,18-E:R3
63,0.2927,18-E:R3
64,0.2987,18-E:R3
65,0.2972,18-E:R3
66,0.2997,18-E:R3
67,0.3026,18-E:R3
6,0.0653,18-E:R4
45,0.2872,18-E:R4
53,0.2096,18-E:R4
54,0.2053,18-E:R4
55,0.1992,18-E:R4
56,0.1942,18-E:R4
57,0.1915,18-E:R4
58,0.1884,18-E:R4
59,0.188,18-E:R4
60,0.2208,18-E:R4
61,0.2403,18-E:R4
62,0.2528,18-E:R4
63,0.2675,18-E:R4
64,0.277,18-E:R4
65,0.2794,18-E:R4
66,0.2852,18-E:R4
67,0.2899,18-E:R4
45,0.2492,18-E:R5
46,0.1729,18-E:R5
47,0.1646,18-E:R5
48,0.1645,18-E:R5
