"","Treatment","logr","K","species","sps"
"1","evolved",-0.251319966867673,288,"R_02 evolved","R_02"
"2","evolved",-0.287331140702198,288,"R_02 evolved","R_02"
"3","evolved",-0.309796757454677,288,"R_02 evolved","R_02"
"4","evolved",-0.199498824149413,288,"R_02 evolved","R_02"
"5","evolved",-0.278717445727195,288,"R_02 evolved","R_02"
"6","evolved",-0.466761796867253,288,"R_02 evolved","R_02"
"7","Nonevolved",-0.268438602762272,288,"R_02 Nonevolved","R_02"
"8","Nonevolved",-0.257539267310348,288,"R_02 Nonevolved","R_02"
"9","Nonevolved",-0.423195611087551,288,"R_02 Nonevolved","R_02"
"10","Nonevolved",-0.223186789748977,288,"R_02 Nonevolved","R_02"
"11","Nonevolved",-0.279188398047275,288,"R_02 Nonevolved","R_02"
"12","Nonevolved",-0.210303070525286,288,"R_02 Nonevolved","R_02"
"13","evolved",-1.42636401788385,293,"R_02 evolved","R_02"
"14","evolved",-1.20410552646646,293,"R_02 evolved","R_02"
"15","evolved",-1.29014905740136,293,"R_02 evolved","R_02"
"16","evolved",-1.21826402575993,293,"R_02 evolved","R_02"
"17","evolved",-1.2128441250533,293,"R_02 evolved","R_02"
"18","evolved",-1.14447286178302,293,"R_02 evolved","R_02"
"19","Nonevolved",0.387971140405417,293,"R_02 Nonevolved","R_02"
"20","Nonevolved",0.516092142478674,293,"R_02 Nonevolved","R_02"
"21","Nonevolved",0.359666126687837,293,"R_02 Nonevolved","R_02"
"22","Nonevolved",0.498767512467517,293,"R_02 Nonevolved","R_02"
"23","Nonevolved",0.605249200108141,293,"R_02 Nonevolved","R_02"
"24","Nonevolved",0.589847674561846,293,"R_02 Nonevolved","R_02"
"25","evolved",0.862654331187363,298,"R_02 evolved","R_02"
"26","evolved",0.835176530422803,298,"R_02 evolved","R_02"
"27","evolved",0.774794438561512,298,"R_02 evolved","R_02"
"28","evolved",0.80755967387053,298,"R_02 evolved","R_02"
"29","evolved",0.825801774596405,298,"R_02 evolved","R_02"
"30","evolved",0.798922572594665,298,"R_02 evolved","R_02"
"31","Nonevolved",0.426050206971383,298,"R_02 Nonevolved","R_02"
"32","Nonevolved",0.318051814724597,298,"R_02 Nonevolved","R_02"
"33","Nonevolved",0.380515168862129,298,"R_02 Nonevolved","R_02"
"34","Nonevolved",0.393850126612604,298,"R_02 Nonevolved","R_02"
"35","Nonevolved",0.515339486541805,298,"R_02 Nonevolved","R_02"
"36","Nonevolved",0.475397903328374,298,"R_02 Nonevolved","R_02"
"37","evolved",0.844990084662952,300.5,"R_02 evolved","R_02"
"38","evolved",0.848036047574273,300.5,"R_02 evolved","R_02"
"39","evolved",0.805621108255007,300.5,"R_02 evolved","R_02"
"40","evolved",0.965648502543583,300.5,"R_02 evolved","R_02"
"41","evolved",0.91446577405116,300.5,"R_02 evolved","R_02"
"42","evolved",0.657484746336739,300.5,"R_02 evolved","R_02"
"43","Nonevolved",0.556400161632155,300.5,"R_02 Nonevolved","R_02"
"44","Nonevolved",0.523775018275127,300.5,"R_02 Nonevolved","R_02"
